,축제명,주소,연락처,시작일,종료일,위도,경도
517,빛고을 드론 페스티벌 2019,광주광역시 서구 상무누리로 30 김대중컨벤션센터,062-611-2145,2019-11-02,2019-11-03,35.1469291222,126.8405366718
518,빛의 광장 IN DMC 2020,서울특별시 마포구 성암로 267,(주)문화방송 미디어사업부 02-789-2816,2019-12-20,2020-01-19,37.5811759771,126.8910035842
519,빛의 벙커 '반 고흐' 2020,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,1522-2653,2019-12-06,2020-10-25,33.4398096742,126.8990724780
520,"빛의 산책로, 수원화성 2019",경기도 수원시 장안구 연무동 190,관광사업부 031-290-3622,2019-08-06,2019-10-05,37.2874872131,127.0114425437
521,빨래,서울특별시 종로구 대학로14길 29,02-928-3362,2019-05-11,2019-09-01,37.5846247927,127.0022738972
522,빵쇼 팡팡크루즈,서울특별시 영등포구 여의동로 290,02-722-4400,2020-01-01,2020-12-31,37.5257832637,126.9384091592
523,뽕짝페스티벌 2019,세종특별자치시 세종이마트 일원,1544-5236,2019-09-28,2019-10-27,36.4709466712,127.2509989814
524,쁘띠프랑스 어린왕자 별빛축제 2020,경기도 가평군 청평면 호반로 1063,031-584-8200,2019-12-01,2020-02-29,37.7153018173,127.4905534526
525,쁘띠프랑스 유럽 동화나라 축제 2019,경기도 가평군 청평면 호반로 1063,031-584-8200,2019-05-01,2019-05-31,37.7148018737,127.4905090268
526,사각사각 봄이 오는 소리 2019,서울특별시 송파구 한가람로 65,"02-420-1160, 1161",2019-05-04,2019-05-05,37.5204198441,127.0846098869
527,사랑-인도문화축제 2019,서울특별시 용산구 독서당로 98,02-792-4257,2019-10-02,2019-10-13,37.5350834931,127.0114911282
528,사랑의전화 자살예방캠페인 '생명줄기' 걷기대회 2019,서울특별시 금천구 시흥대로63길 91,02-3272-4242,2019-10-19,2019-10-19,37.4554517632,126.8947373379
529,사천시농업한마당축제 2019,경상남도 사천시 용현면 시청로 77,055-831-3761,2019-10-18,2019-10-20,35.0034719462,128.0639327035
530,사천에어쇼 2019,경상남도 사천시 사천읍 사천대로 1971,055-831-2070,2019-10-24,2019-10-27,35.0949648277,128.0851867810
531,사회혁신 한마당 IN-Daejeon 2019,대전광역시 중구 중앙로 101,042-334-1253,2019-09-05,2019-09-07,36.3267634148,127.4209793431
532,산골공연 예술잔치 2019,충청북도 영동군 용화면 횡지구백길 5,043-743-0004,2019-08-15,2019-08-17,36.0526810418,127.7463327836
533,산수유마을 양평 빙어축제 2020,경기도 양평군 개군면 아랫상골길 22-8 향리낚시터,010-5438-2258,2020-01-05,2020-01-16,37.4329387228,127.5652548579
534,산정호수 윈터 페스타 2019,경기도 포천시 영북면 산정호수로411번길 112-28,031-538-3370,2019-12-20,2020-02-09,38.0673188642,127.3242694218
535,산타런 2019,경기도 고양시 일산서구 킨텍스로 217-60,070-7575-2352,2019-12-07,2019-12-07,37.6691714862,126.7461032221
536,삼강주막 나루터 축제 2019,경북 예천군 풍양면 삼강리길 58-23,054-650-6902,2019-09-13,2019-09-15,36.5638106829,128.3045577981
537,삼광사 연등축제 2020,부산광역시 부산진구 초읍천로33번길 29-7,051-808-7111,2020-05-16,2020-05-30,35.1756064530,129.0435176067
538,삼길포 우럭축제 2019,충청남도 서산시 대산읍 삼길포1로 65,070-7371-0846,2019-07-26,2019-07-28,37.0033380432,126.4518678072
539,삼다공원 야간콘서트 2019,제주특별자치도 제주시 연동 302-1,064-740-6000,2019-04-26,2019-08-28,33.4889783639,126.4983283548
540,삼양검은모래 해변축제 2019,제주특별자치도 제주시 선사로8길 13-8,삼양동 주민센터 : 064-728-1538,2019-07-26,2019-07-27,33.5260034558,126.5868975924
541,삼척 물총축제 2019,강원도 삼척시 교동,070-7713-0325,2019-07-27,2019-07-28,37.4711673925,129.1639736052
542,삼척 비치 썸 페스티벌 2019,강원도 삼척시 테마타운길 76,033-570-3544,2019-07-26,2019-07-28,37.4684816769,129.1683621836
543,삼척 하장 두타산 산나물축제 2019,강원도 삼척시 하장면 번천리,033-553-4983,2019-05-17,2019-05-19,37.3891430200,128.9966299943
544,상설공연 평택거북놀이 2019,경기도 평택시 현덕면 평택호길 147,평택시청 문화예술과 031-8024-3216,2019-06-15,2019-09-29,36.9215723613,126.9214497062
545,상월 고구마축제 2019,충청남도 논산시 상월면 상월로 522,041-746-8671~6,2019-08-31,2019-09-01,36.3057951605,127.1955195199
546,새연교 콘서트 2019,제주특별자치도 서귀포시 남성중로 40,서귀포시 관광진흥과 064-760-2654,2019-06-01,2019-08-31,33.2391930320,126.5584621032
547,새해맞이 시민의 종 타종행사 2020,부산광역시 중구 용두산길 37-55,051-501-6051,2019-12-31,2020-01-01,35.1009479421,129.0324678301
548,생생문화재 양화진 뱃길탐방 2019,서울특별시 마포구 월드컵로5길 11,02-719-1495,2019-04-09,2019-10-17,37.5516075628,126.9117108636
549,생태관광 페스티벌 2019,대전광역시 유성구 수통골로 47,02-723-8677,2019-11-01,2019-11-02,36.3451006301,127.2881823905
550,생활예술인 페어 2019,서울특별시 중구 을지로 281,02-758-2023,2019-10-26,2019-10-27,37.5675991318,127.0099486810
551,서귀포 겨울바다 국제펭귄수영대회 2020,제주특별자치도 서귀포시 색달동 3039,064-739-7201,2020-01-01,2020-01-01,33.2450179104,126.4156521304
552,서귀포 등문화축제 2019,제주특별자치도 서귀포시 예래로 213,064-760-3571,2019-05-31,2019-06-02,33.2477366337,126.3888905020
553,서귀포 야해페스티벌 2019,제주특별자치도 서귀포시 표선면 민속해안로 592,064-760-3944,2019-08-15,2019-08-17,33.3258518969,126.8425244301
554,서귀포 칠십리축제 2020,제주특별자치도 서귀포시 서귀동 70-1,064-760-3946,2020-09-25,2020-09-27,33.2440204417,126.5688166529
555,서귀포문화재야행 2020,제주 서귀포시 서귀동 717-1,010-8661-9030,2020-08-01,2020-08-02,33.2430565893,126.5644337213
556,서대문독립민주축제 2020,온라인개최,02-330-1410,2020-08-01,2020-08-31,37.5743584811,126.9555506693
557,서리풀청년아트갤러리 '꿈꾸는 정원사' 2019,서울특별시 서초구 남부순환로323길 1,02-2155-6235,2019-05-03,2019-06-01,37.4839449860,127.0113981381
558,서면트리축제 2019,부산광역시 부산진구 부전동 동천로 일대,051-507-9716,2019-11-15,2020-01-05,35.1603889922,129.0586528177
559,서서울호수공원 수상음악축제 2019,서울특별시 양천구 남부순환로64길 20,070-4272-4493,2019-09-27,2019-09-28,37.5274839100,126.8300995393
560,서울 구로국제어린이영화제 2020,서울특별시 구로구 일대,02-869-6044,2020-07-02,2020-07-08,37.4954636544,126.8875146499
561,서울 국제 푸드 앤 테이블웨어 박람회 2020,서울특별시 서초구 강남대로 27,02-511-1540/ 010-2750-4432,2020-07-10,2020-07-12,37.4672141004,127.0396016001
562,서울 국제 항공우주 및 방위산업 전시회 2019,경기도 성남시 수정구 서울공항,-,2019-10-15,2019-10-20,37.4504485089,127.1456507642
563,서울 드라마어워즈 2020,서울특별시 마포구 월드컵북로 400,02-3219-5580,2020-09-08,2020-09-13,37.5804343779,126.8899259259
564,서울 드론 챌린지 2019 (Seoul Drone Challenge 2019),서울특별시 강동구 천호동 351-1,070-4365-8383,2019-10-12,2019-10-12,37.5473006952,127.1200864495
565,서울 명산트레킹 2019,서울특별시 중구 퇴계로34길 28,02-490-2767,2019-04-27,2019-10-12,37.5584387906,126.9935365470
566,서울 문화로 바캉스 2019,서울특별시 중구 세종대로 110,02-550-2535,2019-08-10,2019-08-11,37.5665986816,126.9783710306
567,서울 문화원 엑스포 2019,서울특별시 종로구 세종대로 175,02-2233-9084,2019-09-25,2019-09-25,37.5722396646,126.9768321230
568,서울 물순환 시민문화제 2020,서울특별시 중구 세종대로 110,서울특별시 물순환정책과 02-2133-3764,2020-07-23,2020-07-25,37.5665986816,126.9783710306
569,서울 밤도깨비 야시장 2020,서울특별시 영등포구 여의동로 330,02-120,2020-04-05,2020-10-27,37.5263358907,126.9335762507
570,서울 보드게임 페스타 2019,서울특별시 강남구 남부순환로 3104,070-8611-9803,2019-10-12,2019-10-13,37.4957585883,127.0718200835
571,서울 살롱 뒤 쇼콜라 2021,서울특별시 강남구 영동대로 513,02-6000-6698,2021-01-14,2021-01-16,37.5118092746,127.0591318945
572,서울 술 페스티벌 (Seoul Sool Festival) 2019,서울특별시 서초구 서래로10길 9,02-6406-3838,2019-04-20,2019-04-20,37.4995151763,126.9989377215
573,서울 슈즈앤백박람회 2019,경기도 고양시 일산서구 킨텍스로 217-60,02-6228-9100,2019-05-10,2019-05-12,37.6689215091,126.7457782594
574,서울 아시테지 겨울축제 2020,서울특별시 종로구 성균관로 91 올림픽기념국민생활관 신관 / 종로구 대학로 14길 29 2층 2관 /창경궁로35길 29,02-745-5862~3,2020-01-08,2020-01-19,37.5904796058,126.9988129355
575,서울 코믹월드 2020,서울특별시 서초구 강남대로 27,02-3142-2137,2020-11-07,2020-11-08,37.4683111849,127.0390127336
576,서울365패션쇼 2020,서울특별시 중구 서소문로 124,02-452-7228,2020-04-01,2020-12-31,37.5631601358,126.9752380805
577,서울거리예술축제 2020,"서울 도심 일원 (종로, 을지로 등)",02-758-2044,2020-09-18,2020-10-04,37.5665986816,126.9783710306
578,서울국악축제 2020,서울특별시 중구 퇴계로34길 28,070-4185-4527,2020-08-28,2020-08-29,37.5585082277,126.9935754302
579,서울국제관광산업박람회 2020,서울특별시 강남구 남부순환로 3104,02-757-6161,2020-11-09,2020-11-12,37.4957363721,127.0719811806
580,서울국제대안영상예술페스티벌 2020,서울특별시 마포구 와우산로35길 53,02-337-2870,2020-08-20,2020-08-21,37.5564295139,126.9278870311
581,서울국제불교박람회 2020,서울특별시 강남구 남부순환로 3104 SETEC,02-2231-2013,2020-10-22,2020-10-25,37.4957363721,127.0719811806
582,서울국제식품산업전 2019,서울특별시 강남구 영동대로 513,02-6000-8104,2019-11-20,2019-11-23,37.5126286175,127.0587624599
583,서울국제실험영화페스티벌 2020,서울특별시 마포구 월드컵북로 400,02-3141-1841,2020-08-01,2020-08-07,37.5804315992,126.8898898184
584,서울국제여성영화제 2020,서울특별시 마포구 월드컵로 240,02-583-3598,2020-09-10,2020-09-16,37.5683081417,126.8972867084
585,서울국제음악제 2019,서울특별시 서초구 남부순환로 2406,1544-5142,2019-10-22,2019-11-18,37.4785261578,127.0107150202
586,서울국제작가축제(2019 Seoul International Writers' Festival) 2019,서울특별시 중구 을지로 281 동대문디자인플라자 살림터,02-550-2597,2019-10-05,2019-10-13,37.5675991318,127.0099486810
587,서울국제주류박람회 2020,서울특별시 강남구 영동대로 513 코엑스 C홀,02-761-2518,2020-06-12,2020-06-14,37.5117592813,127.0591874466
588,서울국제즉흥춤축제 2020,서울특별시 종로구 대학로10길 17,축제사무국 02-3674-2210<br />한국공연예술센터 02-3668-0007,2020-04-21,2020-04-26,37.5811335446,127.0029767101
589,서울김장문화제 2019,서울특별시 중구 세종대로 110 서울광장 및 무교로,-,2019-11-01,2019-11-03,37.5665986816,126.9783710306
590,서울대공원 호숫가 영화제 2019,경기도 과천시 대공원광장로 102,02-500-7335 / 7337,2019-09-21,2019-09-22,37.4362505701,127.0141159025
591,서울도시농업박람회 2019,서울특별시 관악구 낙성대로 77,"02-3425-6543, 6546~8",2019-05-16,2019-05-19,37.4741701677,126.9581865912
592,서울디자인페스티벌 2019,서울특별시 강남구 영동대로 513,02-2262-7197,2019-12-04,2019-12-08,37.5118092746,127.0591318945
593,서울디저트페어 [수박&망고] 2020,서울특별시 강남구 남부순환로 3104,02-6010-8941,2020-08-21,2020-08-23,37.4957363721,127.0719811806
594,서울디저트페어 [체리초코전] 2020,서울특별시 서초구 강남대로 27,02-6010-8941,2020-06-27,2020-06-28,37.4683111849,127.0390127336
595,서울디저트페어 [초코&딸기전] 2020,서울특별시 서초구 강남대로 27 양재 aT센터,02-6010-8941,2020-02-07,2020-02-09,37.4683111849,127.0390127336
596,서울라이트(SEOUL LIGHT) 2019,서울특별시 중구 을지로 281 DDP디자인거리,02-2096-0079,2019-12-20,2020-01-03,37.5675991318,127.0099486810
597,서울랜드 겨울 빛축제 2020,경기도 과천시 광명로 181,02-509-6000,2019-11-15,2020-03-01,37.4366477965,127.0169239697
598,서울랜드 할로윈 페스티발 2019,경기도 과천시 광명로 181,02-509-6000,2019-09-12,2019-11-03,37.4363173034,127.0182683012
599,서울마을미디어축제 2019,서울특별시 중구 세종대로 110,02-3141-6390,2019-12-14,2019-12-20,37.5665986816,126.9783710306
600,서울맥주축제 2020,서울특별시 광진구 광나루로 441,02-6012-8577,2020-08-21,2020-08-30,37.5470527467,127.0781902704
601,서울모터쇼 (Seoul Motor Show) 2021,경기도 고양시 일산서구 킨텍스로 217-60,02-3660-1894,2021-04-01,2021-04-11,37.6689909419,126.7455782754
602,서울무궁화축제 2019,서울특별시 서대문구 통일로 251,02)592-7167,2019-08-08,2019-08-15,37.5746640029,126.9556423190
603,서울무용제 2019,서울특별시 종로구 대학로8길 7,02-744-8066,2019-10-12,2019-11-29,37.5811724288,127.0029794866
604,서울무형문화축제 2019,서울특별시 중구 퇴계로34길 28,02-742-6444,2019-10-11,2019-10-12,37.5584387906,126.9935365470
605,서울뮤직시티커넥션 2019,서울특별시 도봉구 마들로11길 74,02-966-6563,2019-10-02,2019-10-03,37.6541925386,127.0486288033
606,서울뮤직페스티벌(SMUF) 2019,서울특별시 종로구 광화문광장,02-2133-2571,2019-09-28,2019-10-06,37.5716758408,126.9768015861
607,서울미래연극제 2019,서울특별시 동대문구 회기로 66,02-765-7500,2019-10-16,2019-10-31,37.5909664937,127.0451337005
608,서울미트페어 2019,서울특별시 강남구 영동대로 513,02-6956-1080,2019-06-13,2019-06-15,37.5146172444,127.0570347838
609,서울분장페스티벌 2019,서울특별시 강동구 올림픽로 지하 776 암사역,010-7528-6012,2019-10-12,2019-10-12,37.5515615388,127.1326796265
610,서울빛초롱축제 2019,서울특별시 종로구 서린동 14-1 청계광장,02-3788-0856,2019-11-01,2019-11-17,37.5694512038,126.9825955652
611,서울사진축제 2019,서울특별시 노원구 동일로 1238,02-706-6751,2019-10-01,2019-11-10,37.6406499975,127.0668386402
612,서울서점페어 2019,서울특별시 중구 을지로 281,070-4848-5540,2019-11-09,2019-11-10,37.5675991318,127.0099486810
613,서울세계도시문화축제 2019,서울특별시 중구 세종대로 110,120 (서울시 다산콜센터),2019-08-31,2019-09-01,37.5665986816,126.9783710306
614,서울세계무용축제 2019,서울특별시 마포구 월드컵북로5길 56 2층,02-3216-1185,2019-10-02,2019-10-20,37.5562820926,126.9157992483
615,서울스트릿댄스 페스티벌 2019,서울특별시 강북구 월계로 173,02-2272-1917,2019-09-28,2019-09-28,37.6233876457,127.0407498436
616,서울시민시장 위크(Week) 2019,서울특별시 마포구 성미산로13길 84-5,02-325-8553,2019-10-12,2019-10-27,37.5646783510,126.9164545071
617,서울시민연극제 2020,서울특별시 관악구 신림로3길 35,02-765-7500,2020-08-29,2020-09-27,37.4676512424,126.9448852069
618,서울시향 강변음악회 2019,서울특별시 영등포구 여의동로 지하 343,다산콜센터 120,2019-06-08,2019-06-08,37.5304075633,126.9293265233
619,"서울시향 마르쿠스 슈텐츠의 합창 교향곡 ①, ② 2019",서울특별시 서초구 남부순환로 2406,1588-1210,2019-12-19,2019-12-20,37.4785900399,127.0107566806
620,서울시향 모차르트 교향곡 제36번 '린츠’ 2020,서울특별시 서초구 남부순환로 2406,1588-1210,2020-02-21,2020-02-21,37.4785900399,127.0107566806
621,서울시향 브람스 교향곡 4번 2019,서울특별시 송파구 올림픽로 300 롯데월드몰 8층,1588-1210,2019-12-12,2019-12-12,37.5126099637,127.1025668077
622,"서울시향 에마뉘엘 파위의 모차르트 협주곡 ①, ② 2019",서울특별시 서초구 남부순환로 2406,1588-1210,2019-12-05,2019-12-06,37.4785261578,127.0107150202
623,서울시향 오스모 벤스케의 말러 교향곡 2번 '부활' 2020,서울특별시 송파구 올림픽로 300 롯데월드몰 8층,1588-1210,2020-02-14,2020-02-15,37.5126099637,127.1025668077
